date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:11:13	80612/80612	---M-Z	200	added ('OK')	application/javascript	etag:%2213ae4-527a27143b080-gzip%22	http://dance-studio.cmsmasters.net/wp-content/themes/dance-studio/js/jquery.iLightBox.min.js?ver=2.2.0	E:/users/MKURUGENZI%201/Documents/projects/balasi/balasi_dance/dance-studio.cmsmasters.net/wp-content/themes/dance-studio/js/jquery.iLightBox.min3601.js	(from http://dance-studio.cmsmasters.net/)
23:11:14	896/896	---M-Z	200	added ('OK')	text/xml	date:Tue,%2023%20Aug%202016%2020:11:19%20GMT	http://dance-studio.cmsmasters.net/xmlrpc.php?rsd	E:/users/MKURUGENZI%201/Documents/projects/balasi/balasi_dance/dance-studio.cmsmasters.net/xmlrpc0db0.php	(from http://dance-studio.cmsmasters.net/)
23:11:15	1045/1045	---M-Z	200	added ('OK')	application/xml	etag:%22415-527a42e1b4875-gzip%22	http://dance-studio.cmsmasters.net/wp-includes/wlwmanifest.xml	E:/users/MKURUGENZI%201/Documents/projects/balasi/balasi_dance/dance-studio.cmsmasters.net/wp-includes/wlwmanifest.xml	(from http://dance-studio.cmsmasters.net/)
23:11:17	2229/2229	---M--	200	added ('OK')	application/json	date:Tue,%2023%20Aug%202016%2020:11:21%20GMT	http://dance-studio.cmsmasters.net/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fdance-studio.cmsmasters.net%2F	E:/users/MKURUGENZI%201/Documents/projects/balasi/balasi_dance/dance-studio.cmsmasters.net/wp-json/oembed/1.0/embed5732.json	(from http://dance-studio.cmsmasters.net/)
23:11:17	69041/69041	---MC-	200	added ('OK')	application/json	date:Tue,%2023%20Aug%202016%2020:11:19%20GMT	http://dance-studio.cmsmasters.net/wp-json/	E:/users/MKURUGENZI%201/Documents/projects/balasi/balasi_dance/dance-studio.cmsmasters.net/wp-json/index.html	(from http://dance-studio.cmsmasters.net/)
23:11:18	2328/2328	---M-Z	200	added ('OK')	text/xml	date:Tue,%2023%20Aug%202016%2020:11:23%20GMT	http://dance-studio.cmsmasters.net/wp-json/oembed/1.0/embed?url=http%3A%2F%2Fdance-studio.cmsmasters.net%2F&format=xml	E:/users/MKURUGENZI%201/Documents/projects/balasi/balasi_dance/dance-studio.cmsmasters.net/wp-json/oembed/1.0/embed1fc5	(from http://dance-studio.cmsmasters.net/)
23:11:18	939/939	---M--	200	added ('OK')	image/png	etag:%223ab-531a0aaa949e5%22	http://dance-studio.cmsmasters.net/wp-content/uploads/2016/04/cropped-favicon-512-1-32x32.png	E:/users/MKURUGENZI%201/Documents/projects/balasi/balasi_dance/dance-studio.cmsmasters.net/wp-content/uploads/2016/04/cropped-favicon-512-1-32x32.png	(from http://dance-studio.cmsmasters.net/)
23:11:19	9278/9278	---M--	200	added ('OK')	image/png	etag:%22243e-531a0aaa8ada4%22	http://dance-studio.cmsmasters.net/wp-content/uploads/2016/04/cropped-favicon-512-1-192x192.png	E:/users/MKURUGENZI%201/Documents/projects/balasi/balasi_dance/dance-studio.cmsmasters.net/wp-content/uploads/2016/04/cropped-favicon-512-1-192x192.png	(from http://dance-studio.cmsmasters.net/)
23:11:20	22330/22330	---M--	200	added ('OK')	image/png	etag:%22573a-531a0aaa92aa4%22	http://dance-studio.cmsmasters.net/wp-content/uploads/2016/04/cropped-favicon-512-1-180x180.png	E:/users/MKURUGENZI%201/Documents/projects/balasi/balasi_dance/dance-studio.cmsmasters.net/wp-content/uploads/2016/04/cropped-favicon-512-1-180x180.png	(from http://dance-studio.cmsmasters.net/)
23:11:20	4022/4022	---M--	200	added ('OK')	image/png	etag:%22fb6-52e506c8245d2%22	http://dance-studio.cmsmasters.net/wp-content/uploads/2016/03/logo1.png	E:/users/MKURUGENZI%201/Documents/projects/balasi/balasi_dance/dance-studio.cmsmasters.net/wp-content/uploads/2016/03/logo1.png	(from http://dance-studio.cmsmasters.net/)
